A, 
ABORT,non-reserved
ABS, 
ABSENT, 
ABSOLUTE,non-reserved
ACCESS,non-reserved
ACCORDING, 
ACTION,non-reserved
ADA, 
ADD,non-reserved
ADMIN,non-reserved
AFTER,non-reserved
AGGREGATE,non-reserved
ALL,reserved
ALLOCATE, 
ALSO,non-reserved
ALTER,non-reserved
ALWAYS,non-reserved
ANALYSE,reserved
ANALYZE,reserved
AND,reserved
ANY,reserved
ARE, 
ARRAY,reserved
ARRAY_AGG, 
ARRAY_MAX_CARDINALITY, 
AS,reserved
ASC,reserved
ASENSITIVE, 
ASSERTION,non-reserved
ASSIGNMENT,non-reserved
ASYMMETRIC,reserved
AT,non-reserved
ATOMIC, 
ATTRIBUTE,non-reserved
ATTRIBUTES, 
AUTHORIZATION,reserved (can be function or type)
AVG, 
BACKWARD,non-reserved
BASE64, 
BEFORE,non-reserved
BEGIN,non-reserved
BEGIN_FRAME, 
BEGIN_PARTITION, 
BERNOULLI, 
BETWEEN,non-reserved (cannot be function or type)
BIGINT,non-reserved (cannot be function or type)
BINARY,reserved (can be function or type)
BIT,non-reserved (cannot be function or type)
BIT_LENGTH, 
BLOB, 
BLOCKED, 
BOM, 
BOOLEAN,non-reserved (cannot be function or type)
BOTH,reserved
BREADTH, 
BY,non-reserved
C, 
CACHE,non-reserved
CALL, 
CALLED,non-reserved
CARDINALITY, 
CASCADE,non-reserved
CASCADED,non-reserved
CASE,reserved
CAST,reserved
CATALOG,non-reserved
CATALOG_NAME, 
CEIL, 
CEILING, 
CHAIN,non-reserved
CHAR,non-reserved (cannot be function or type)
CHARACTER,non-reserved (cannot be function or type)
CHARACTERISTICS,non-reserved
CHARACTERS, 
CHARACTER_LENGTH, 
CHARACTER_SET_CATALOG, 
CHARACTER_SET_NAME, 
CHARACTER_SET_SCHEMA, 
CHAR_LENGTH, 
CHECK,reserved
CHECKPOINT,non-reserved
CLASS,non-reserved
CLASS_ORIGIN, 
CLOB, 
CLOSE,non-reserved
CLUSTER,non-reserved
COALESCE,non-reserved (cannot be function or type)
COBOL, 
COLLATE,reserved
COLLATION,reserved (can be function or type)
COLLATION_CATALOG, 
COLLATION_NAME, 
COLLATION_SCHEMA, 
COLLECT, 
COLUMN,reserved
COLUMNS, 
COLUMN_NAME, 
COMMAND_FUNCTION, 
COMMAND_FUNCTION_CODE, 
COMMENT,non-reserved
COMMENTS,non-reserved
COMMIT,non-reserved
COMMITTED,non-reserved
CONCURRENTLY,reserved (can be function or type)
CONDITION, 
CONDITION_NUMBER, 
CONFIGURATION,non-reserved
CONNECT, 
CONNECTION,non-reserved
CONNECTION_NAME, 
CONSTRAINT,reserved
CONSTRAINTS,non-reserved
CONSTRAINT_CATALOG, 
CONSTRAINT_NAME, 
CONSTRAINT_SCHEMA, 
CONSTRUCTOR, 
CONTAINS, 
CONTENT,non-reserved
CONTINUE,non-reserved
CONTROL, 
CONVERSION,non-reserved
CONVERT, 
COPY,non-reserved
CORR, 
CORRESPONDING, 
COST,non-reserved
COUNT, 
COVAR_POP, 
COVAR_SAMP, 
CREATE,reserved
CROSS,reserved (can be function or type)
CSV,non-reserved
CUBE, 
CUME_DIST, 
CURRENT,non-reserved
CURRENT_CATALOG,reserved
CURRENT_DATE,reserved
CURRENT_DEFAULT_TRANSFORM_GROUP, 
CURRENT_PATH, 
CURRENT_ROLE,reserved
CURRENT_ROW, 
CURRENT_SCHEMA,reserved (can be function or type)
CURRENT_TIME,reserved
CURRENT_TIMESTAMP,reserved
CURRENT_TRANSFORM_GROUP_FOR_TYPE, 
CURRENT_USER,reserved
CURSOR,non-reserved
CURSOR_NAME, 
CYCLE,non-reserved
DATA,non-reserved
DATABASE,non-reserved
DATALINK, 
DATE, 
DATETIME_INTERVAL_CODE, 
DATETIME_INTERVAL_PRECISION, 
DAY,non-reserved
DB, 
DEALLOCATE,non-reserved
DEC,non-reserved (cannot be function or type)
DECIMAL,non-reserved (cannot be function or type)
DECLARE,non-reserved
DEFAULT,reserved
DEFAULTS,non-reserved
DEFERRABLE,reserved
DEFERRED,non-reserved
DEFINED, 
DEFINER,non-reserved
DEGREE, 
DELETE,non-reserved
DELIMITER,non-reserved
DELIMITERS,non-reserved
DENSE_RANK, 
DEPTH, 
DEREF, 
DERIVED, 
DESC,reserved
DESCRIBE, 
DESCRIPTOR, 
DETERMINISTIC, 
DIAGNOSTICS, 
DICTIONARY,non-reserved
DISABLE,non-reserved
DISCARD,non-reserved
DISCONNECT, 
DISPATCH, 
DISTINCT,reserved
DLNEWCOPY, 
DLPREVIOUSCOPY, 
DLURLCOMPLETE, 
DLURLCOMPLETEONLY, 
DLURLCOMPLETEWRITE, 
DLURLPATH, 
DLURLPATHONLY, 
DLURLPATHWRITE, 
DLURLSCHEME, 
DLURLSERVER, 
DLVALUE, 
DO,reserved
DOCUMENT,non-reserved
DOMAIN,non-reserved
DOUBLE,non-reserved
DROP,non-reserved
DYNAMIC, 
DYNAMIC_FUNCTION, 
DYNAMIC_FUNCTION_CODE, 
EACH,non-reserved
ELEMENT, 
ELSE,reserved
EMPTY, 
ENABLE,non-reserved
ENCODING,non-reserved
ENCRYPTED,non-reserved
END,reserved
END-EXEC, 
END_FRAME, 
END_PARTITION, 
ENFORCED, 
ENUM,non-reserved
EQUALS, 
ESCAPE,non-reserved
EVENT,non-reserved
EVERY, 
EXCEPT,reserved
EXCEPTION, 
EXCLUDE,non-reserved
EXCLUDING,non-reserved
EXCLUSIVE,non-reserved
EXEC, 
EXECUTE,non-reserved
EXISTS,non-reserved (cannot be function or type)
EXP, 
EXPLAIN,non-reserved
EXPRESSION, 
EXTENSION,non-reserved
EXTERNAL,non-reserved
EXTRACT,non-reserved (cannot be function or type)
FALSE,reserved
FAMILY,non-reserved
FETCH,reserved
FILE, 
FILTER,non-reserved
FINAL, 
FIRST,non-reserved
FIRST_VALUE, 
FLAG, 
FLOAT,non-reserved (cannot be function or type)
FLOOR, 
FOLLOWING,non-reserved
FOR,reserved
FORCE,non-reserved
FOREIGN,reserved
FORTRAN, 
FORWARD,non-reserved
FOUND, 
FRAME_ROW, 
FREE, 
FREEZE,reserved (can be function or type)
FROM,reserved
FS, 
FULL,reserved (can be function or type)
FUNCTION,non-reserved
FUNCTIONS,non-reserved
FUSION, 
G, 
GENERAL, 
GENERATED, 
GET, 
GLOBAL,non-reserved
GO, 
GOTO, 
GRANT,reserved
GRANTED,non-reserved
GREATEST,non-reserved (cannot be function or type)
GROUP,reserved
GROUPING, 
GROUPS, 
HANDLER,non-reserved
HAVING,reserved
HEADER,non-reserved
HEX, 
HIERARCHY, 
HOLD,non-reserved
HOUR,non-reserved
ID, 
IDENTITY,non-reserved
IF,non-reserved
IGNORE, 
ILIKE,reserved (can be function or type)
IMMEDIATE,non-reserved
IMMEDIATELY, 
IMMUTABLE,non-reserved
IMPLEMENTATION, 
IMPLICIT,non-reserved
IMPORT, 
IN,reserved
INCLUDING,non-reserved
INCREMENT,non-reserved
INDENT, 
INDEX,non-reserved
INDEXES,non-reserved
INDICATOR, 
INHERIT,non-reserved
INHERITS,non-reserved
INITIALLY,reserved
INLINE,non-reserved
INNER,reserved (can be function or type)
INOUT,non-reserved (cannot be function or type)
INPUT,non-reserved
INSENSITIVE,non-reserved
INSERT,non-reserved
INSTANCE, 
INSTANTIABLE, 
INSTEAD,non-reserved
INT,non-reserved (cannot be function or type)
INTEGER,non-reserved (cannot be function or type)
INTEGRITY, 
INTERSECT,reserved
INTERSECTION, 
INTERVAL,non-reserved (cannot be function or type)
INTO,reserved
INVOKER,non-reserved
IS,reserved (can be function or type)
ISNULL,reserved (can be function or type)
ISOLATION,non-reserved
JOIN,reserved (can be function or type)
K, 
KEY,non-reserved
KEY_MEMBER, 
KEY_TYPE, 
LABEL,non-reserved
LAG, 
LANGUAGE,non-reserved
LARGE,non-reserved
LAST,non-reserved
LAST_VALUE, 
LATERAL,reserved
LC_COLLATE,non-reserved
LC_CTYPE,non-reserved
LEAD, 
LEADING,reserved
LEAKPROOF,non-reserved
LEAST,non-reserved (cannot be function or type)
LEFT,reserved (can be function or type)
LENGTH, 
LEVEL,non-reserved
LIBRARY, 
LIKE,reserved (can be function or type)
LIKE_REGEX, 
LIMIT,reserved
LINK, 
LISTEN,non-reserved
LN, 
LOAD,non-reserved
LOCAL,non-reserved
LOCALTIME,reserved
LOCALTIMESTAMP,reserved
LOCATION,non-reserved
LOCATOR, 
LOCK,non-reserved
LOWER, 
M, 
MAP, 
MAPPING,non-reserved
MATCH,non-reserved
MATCHED, 
MATERIALIZED,non-reserved
MAX, 
MAXVALUE,non-reserved
MAX_CARDINALITY, 
MEMBER, 
MERGE, 
MESSAGE_LENGTH, 
MESSAGE_OCTET_LENGTH, 
MESSAGE_TEXT, 
METHOD, 
MIN, 
MINUTE,non-reserved
MINVALUE,non-reserved
MOD, 
MODE,non-reserved
MODIFIES, 
MODULE, 
MONTH,non-reserved
MORE, 
MOVE,non-reserved
MULTISET, 
MUMPS, 
NAME,non-reserved
NAMES,non-reserved
NAMESPACE, 
NATIONAL,non-reserved (cannot be function or type)
NATURAL,reserved (can be function or type)
NCHAR,non-reserved (cannot be function or type)
NCLOB, 
NESTING, 
NEW, 
NEXT,non-reserved
NFC, 
NFD, 
NFKC, 
NFKD, 
NIL, 
NO,non-reserved
NONE,non-reserved (cannot be function or type)
NORMALIZE, 
NORMALIZED, 
NOT,reserved
NOTHING,non-reserved
NOTIFY,non-reserved
NOTNULL,reserved (can be function or type)
NOWAIT,non-reserved
NTH_VALUE, 
NTILE, 
NULL,reserved
NULLABLE, 
NULLIF,non-reserved (cannot be function or type)
NULLS,non-reserved
NUMBER, 
NUMERIC,non-reserved (cannot be function or type)
OBJECT,non-reserved
OCCURRENCES_REGEX, 
OCTETS, 
OCTET_LENGTH, 
OF,non-reserved
OFF,non-reserved
OFFSET,reserved
OIDS,non-reserved
OLD, 
ON,reserved
ONLY,reserved
OPEN, 
OPERATOR,non-reserved
OPTION,non-reserved
OPTIONS,non-reserved
OR,reserved
ORDER,reserved
ORDERING, 
ORDINALITY,non-reserved
OTHERS, 
OUT,non-reserved (cannot be function or type)
OUTER,reserved (can be function or type)
OUTPUT, 
OVER,non-reserved
OVERLAPS,reserved (can be function or type)
OVERLAY,non-reserved (cannot be function or type)
OVERRIDING, 
OWNED,non-reserved
OWNER,non-reserved
P, 
PAD, 
PARAMETER, 
PARAMETER_MODE, 
PARAMETER_NAME, 
PARAMETER_ORDINAL_POSITION, 
PARAMETER_SPECIFIC_CATALOG, 
PARAMETER_SPECIFIC_NAME, 
PARAMETER_SPECIFIC_SCHEMA, 
PARSER,non-reserved
PARTIAL,non-reserved
PARTITION,non-reserved
PASCAL, 
PASSING,non-reserved
PASSTHROUGH, 
PASSWORD,non-reserved
PATH, 
PERCENT, 
PERCENTILE_CONT, 
PERCENTILE_DISC, 
PERCENT_RANK, 
PERIOD, 
PERMISSION, 
PLACING,reserved
PLANS,non-reserved
PLI, 
PORTION, 
POSITION,non-reserved (cannot be function or type)
POSITION_REGEX, 
POWER, 
PRECEDES, 
PRECEDING,non-reserved
PRECISION,non-reserved (cannot be function or type)
PREPARE,non-reserved
PREPARED,non-reserved
PRESERVE,non-reserved
PRIMARY,reserved
PRIOR,non-reserved
PRIVILEGES,non-reserved
PROCEDURAL,non-reserved
PROCEDURE,non-reserved
PROGRAM,non-reserved
PUBLIC, 
QUOTE,non-reserved
RANGE,non-reserved
RANK, 
READ,non-reserved
READS, 
REAL,non-reserved (cannot be function or type)
REASSIGN,non-reserved
RECHECK,non-reserved
RECOVERY, 
RECURSIVE,non-reserved
REF,non-reserved
REFERENCES,reserved
REFERENCING, 
REFRESH,non-reserved
REGR_AVGX, 
REGR_AVGY, 
REGR_COUNT, 
REGR_INTERCEPT, 
REGR_R2, 
REGR_SLOPE, 
REGR_SXX, 
REGR_SXY, 
REGR_SYY, 
REINDEX,non-reserved
RELATIVE,non-reserved
RELEASE,non-reserved
RENAME,non-reserved
REPEATABLE,non-reserved
REPLACE,non-reserved
REPLICA,non-reserved
REQUIRING, 
RESET,non-reserved
RESPECT, 
RESTART,non-reserved
RESTORE, 
RESTRICT,non-reserved
RESULT, 
RETURN, 
RETURNED_CARDINALITY, 
RETURNED_LENGTH, 
RETURNED_OCTET_LENGTH, 
RETURNED_SQLSTATE, 
RETURNING,reserved
RETURNS,non-reserved
REVOKE,non-reserved
RIGHT,reserved (can be function or type)
ROLE,non-reserved
ROLLBACK,non-reserved
ROLLUP, 
ROUTINE, 
ROUTINE_CATALOG, 
ROUTINE_NAME, 
ROUTINE_SCHEMA, 
ROW,non-reserved (cannot be function or type)
ROWS,non-reserved
ROW_COUNT, 
ROW_NUMBER, 
RULE,non-reserved
SAVEPOINT,non-reserved
SCALE, 
SCHEMA,non-reserved
SCHEMA_NAME, 
SCOPE, 
SCOPE_CATALOG, 
SCOPE_NAME, 
SCOPE_SCHEMA, 
SCROLL,non-reserved
SEARCH,non-reserved
SECOND,non-reserved
SECTION, 
SECURITY,non-reserved
SELECT,reserved
SELECTIVE, 
SELF, 
SENSITIVE, 
SEQUENCE,non-reserved
SEQUENCES,non-reserved
SERIALIZABLE,non-reserved
SERVER,non-reserved
SERVER_NAME, 
SESSION,non-reserved
SESSION_USER,reserved
SET,non-reserved
SETOF,non-reserved (cannot be function or type)
SETS, 
SHARE,non-reserved
SHOW,non-reserved
SIMILAR,reserved (can be function or type)
SIMPLE,non-reserved
SIZE, 
SMALLINT,non-reserved (cannot be function or type)
SNAPSHOT,non-reserved
SOME,reserved
SOURCE, 
SPACE, 
SPECIFIC, 
SPECIFICTYPE, 
SPECIFIC_NAME, 
SQL, 
SQLCODE, 
SQLERROR, 
SQLEXCEPTION, 
SQLSTATE, 
SQLWARNING, 
SQRT, 
STABLE,non-reserved
STANDALONE,non-reserved
START,non-reserved
STATE, 
STATEMENT,non-reserved
STATIC, 
STATISTICS,non-reserved
STDDEV_POP, 
STDDEV_SAMP, 
STDIN,non-reserved
STDOUT,non-reserved
STORAGE,non-reserved
STRICT,non-reserved
STRIP,non-reserved
STRUCTURE, 
STYLE, 
SUBCLASS_ORIGIN, 
SUBMULTISET, 
SUBSTRING,non-reserved (cannot be function or type)
SUBSTRING_REGEX, 
SUCCEEDS, 
SUM, 
SYMMETRIC,reserved
SYSID,non-reserved
SYSTEM,non-reserved
SYSTEM_TIME, 
SYSTEM_USER, 
T, 
TABLE,reserved
TABLES,non-reserved
TABLESAMPLE, 
TABLESPACE,non-reserved
TABLE_NAME, 
TEMP,non-reserved
TEMPLATE,non-reserved
TEMPORARY,non-reserved
TEXT,non-reserved
THEN,reserved
TIES, 
TIME,non-reserved (cannot be function or type)
TIMESTAMP,non-reserved (cannot be function or type)
TIMEZONE_HOUR, 
TIMEZONE_MINUTE, 
TO,reserved
TOKEN, 
TOP_LEVEL_COUNT, 
TRAILING,reserved
TRANSACTION,non-reserved
TRANSACTIONS_COMMITTED, 
TRANSACTIONS_ROLLED_BACK, 
TRANSACTION_ACTIVE, 
TRANSFORM, 
TRANSFORMS, 
TRANSLATE, 
TRANSLATE_REGEX, 
TRANSLATION, 
TREAT,non-reserved (cannot be function or type)
TRIGGER,non-reserved
TRIGGER_CATALOG, 
TRIGGER_NAME, 
TRIGGER_SCHEMA, 
TRIM,non-reserved (cannot be function or type)
TRIM_ARRAY, 
TRUE,reserved
TRUNCATE,non-reserved
TRUSTED,non-reserved
TYPE,non-reserved
TYPES,non-reserved
UESCAPE, 
UNBOUNDED,non-reserved
UNCOMMITTED,non-reserved
UNDER, 
UNENCRYPTED,non-reserved
UNION,reserved
UNIQUE,reserved
UNKNOWN,non-reserved
UNLINK, 
UNLISTEN,non-reserved
UNLOGGED,non-reserved
UNNAMED, 
UNNEST, 
UNTIL,non-reserved
UNTYPED, 
UPDATE,non-reserved
UPPER, 
URI, 
USAGE, 
USER,reserved
USER_DEFINED_TYPE_CATALOG, 
USER_DEFINED_TYPE_CODE, 
USER_DEFINED_TYPE_NAME, 
USER_DEFINED_TYPE_SCHEMA, 
USING,reserved
VACUUM,non-reserved
VALID,non-reserved
VALIDATE,non-reserved
VALIDATOR,non-reserved
VALUE,non-reserved
VALUES,non-reserved (cannot be function or type)
VALUE_OF, 
VARBINARY, 
VARCHAR,non-reserved (cannot be function or type)
VARIADIC,reserved
VARYING,non-reserved
VAR_POP, 
VAR_SAMP, 
VERBOSE,reserved (can be function or type)
VERSION,non-reserved
VERSIONING, 
VIEW,non-reserved
VIEWS,non-reserved
VOLATILE,non-reserved
WHEN,reserved
WHENEVER, 
WHERE,reserved
WHITESPACE,non-reserved
WIDTH_BUCKET, 
WINDOW,reserved
WITH,reserved
WITHIN,non-reserved
WITHOUT,non-reserved
WORK,non-reserved
WRAPPER,non-reserved
WRITE,non-reserved
XML,non-reserved
XMLAGG, 
XMLATTRIBUTES,non-reserved (cannot be function or type)
XMLBINARY, 
XMLCAST, 
XMLCOMMENT, 
XMLCONCAT,non-reserved (cannot be function or type)
XMLDECLARATION, 
XMLDOCUMENT, 
XMLELEMENT,non-reserved (cannot be function or type)
XMLEXISTS,non-reserved (cannot be function or type)
XMLFOREST,non-reserved (cannot be function or type)
XMLITERATE, 
XMLNAMESPACES, 
XMLPARSE,non-reserved (cannot be function or type)
XMLPI,non-reserved (cannot be function or type)
XMLQUERY, 
XMLROOT,non-reserved (cannot be function or type)
XMLSCHEMA, 
XMLSERIALIZE,non-reserved (cannot be function or type)
XMLTABLE, 
XMLTEXT, 
XMLVALIDATE, 
YEAR,non-reserved
YES,non-reserved
ZONE,non-reserved